,Number of people who will provide maintenance,Loan History,Purpose of taking loan,loan amount taken,Guarantor or Debtor,Number of years of employment,Marital Status,Number of loans taken from current bank,Age of the applicant in Number of Years,amount in current account,amount in savings account,% of income paid as installment,Other loans plans taken,Working abroad or not,Is there telephone number available,time duration for loan,Owned property,Type of job performed,Type of Housing,Number of years of stay in current address,Loan Defaulted or not,1=defaulted
0,1,critical account/other loans existing (not at this bank),New Car Purchase,1028,none,between 1 and 4 years,female and divorced/seperated/married,2,36,no current account,less than 100,4,none,Yes,No,18,Real Estate,skilled employee / official,own,3,1,2=not defaulted
1,1,existing loans paid back duly till now,Purchase of radio/television,10222,none,greater than 4 years,male and single,1,37,no current account,no savings account,4,stores,Yes,Yes,48,car or other property,skilled employee / official,own,3,1,
2,1,existing loans paid back duly till now,Purchase of radio/television,701,none,between 1 and 4 years,male and married/widowed,1,40,less than 0,less than 100,4,none,Yes,No,12,Real Estate,unskilled - resident,own,2,1,
3,1,existing loans paid back duly till now,Purchase of radio/television,1670,none,less than a year,female and divorced/seperated/married,1,22,between 0 and 200,less than 100,4,none,Yes,Yes,9,car or other property,skilled employee / official,own,2,2,
4,1,critical account/other loans existing (not at this bank),New Car Purchase,1163,none,between 1 and 4 years,male and single,1,44,no current account,between 500 and 1000,4,none,Yes,Yes,12,Real Estate,skilled employee / official,own,4,1,
5,1,all loans at this bank paid back duly,New Car Purchase,2325,none,greater than 4 years,male and single,1,32,less than 0,between 100 and 500,2,bank,Yes,No,24,car or other property,skilled employee / official,own,3,1,
6,1,critical account/other loans existing (not at this bank),Old Car Repair,10477,none,,male and single,2,42,no current account,no savings account,2,none,Yes,No,36,No property,skilled employee / official,for free,4,1,
7,1,delay in paying off loans in the past,New Car Purchase,2862,none,,male and single,1,30,between 0 and 200,between 100 and 500,4,none,Yes,No,36,No property,skilled employee / official,for free,3,1,
8,1,critical account/other loans existing (not at this bank),New Car Purchase,10127,none,between 1 and 4 years,male and single,1,44,no current account,between 500 and 1000,2,bank,Yes,No,48,No property,skilled employee / official,for free,2,2,
9,1,existing loans paid back duly till now,Purchase of furniture/equipment,2659,none,between 1 and 4 years,male and single,1,28,less than 0,greater than 1000,4,none,Yes,No,18,car or other property,skilled employee / official,own,2,1,
